Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,Florida,Indian River County School District,November 2021,Banned in Libraries and Classrooms,Administrator
Clap When You Land,"Acevedo, Elizabeth",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The Poet X,"Acevedo, Elizabeth",,,,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
The Poet X,"Acevedo, Elizabeth",,,,New York,Marlboro Central School District,February 2022,Banned in Libraries and Classrooms,Administrator
The Poet X,"Acevedo, Elizabeth",,,,Texas,Fredericksburg Independent School District,March 2022,Banned Pending Investigation,Administrator
The Poet X,"Acevedo, Elizabeth",,,,Virginia,New Kent County Public Schools,October 2021,Banned in Libraries,Administrator
Call Me By Your Name (Call Me By Your Name Series),"Aciman, André",,,,Virginia,Spotsylvania County Public Schools,November 2021,Banned Pending Investigation,Administrator
"How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","Acito, Marc",,,,Florida,Indian River County School District,November 2021,Banned Pending Investigation,Administrator
My Name Is María Isabel,"Ada, Alma Flor",,"Thompson, Kathryn Dyble","Cerro, Ana M.",Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Time to Pray,"Addasi, Maha",,"Gannon, Ned","Albitar, Nuha",Florida,Duval County Public Schools,January 2022,Banned Pending Investigation,Administrator
Children of Blood and Bone (Legacy of Orïsha Series),"Adeyemi, Tomi",,,,Texas,Katy Independent School District,January 2022,Banned Pending Investigation,Administrator
"47,000 Beads","Adeyoha, Koja","Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,Michigan,Hudsonville Public Schools,January 2022,Banned in Classrooms,Formal Challenge
Cool for the Summer,"Adler, Dahlia",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Accidental Adventures of India McAllister,"Agell, Charlotte",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
How It All Blew Up,"Ahmadi, Arvin",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
How It All Blew Up,"Ahmadi, Arvin",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Mae Among the Stars,"Ahmed, Roda",,"Burrington, Stasia",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
"Love, Hate & Other Filters","Ahmed, Samira",,,,Mississippi,Madison County Schools,April 2022,Banned in Libraries,Administrator
"Love, Hate & Other Filters","Ahmed, Samira",,,,Wisconsin,School District of Waukesha,December 2021,Banned in Libraries,Administrator
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
Being the Change: Lessons and Strategies to Teach Social Comprehension,"Ahmed, Sara K.",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Here's to Us,"Albertalli, Becky","Silvera, Adam",,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Kate in Waiting,"Albertalli, Becky",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",,,,Idaho,Nampa School District,May 2022,Banned in Libraries and Classrooms,Administrator
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
"Love, Creekwood: A Simonverse Novella (Simonverse Series)","Albertalli, Becky",,,,Texas,North East Independent School District,December 2021,Banned in Libraries,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
Simon vs. the Homo Sapiens Agenda (Simonverse Series),"Albertalli, Becky",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",,,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
The Upside of Unrequited (Simonverse Series),"Albertalli, Becky",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
What If It's Us (What If It's Us Series),"Albertalli, Becky","Silvera, Adam",,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
What If It's Us (What If It's Us Series),"Albertalli, Becky","Silvera, Adam",,,Texas,Granbury Independent School District,January 2022,Banned Pending Investigation,Administrator
What If It's Us (What If It's Us Series),"Albertalli, Becky","Silvera, Adam",,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
Indivisible,"Aleman, Daniel",,,,Tennessee,Collierville Schools,February 2022,Banned Pending Investigation,Administrator
The Undefeated,"Alexander, Kwame",,"Nelson, Kadir",,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",,,,Pennsylvania,Central York School District,August 2021,Banned in Classrooms,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",,,,Texas,Klein Independent School District,December 2021,Banned Pending Investigation,Administrator
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,"Alexander, Michelle",,,,Texas,North East Independent School District,December 2021,Banned Pending Investigation,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Indian River County School District,November 2021,Banned in Libraries,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Jackson County School District,April 2022,Banned in Libraries and Classrooms,Administrator
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Florida,Lee County Schools,March 2022,Banned in Libraries and Classrooms,Administrator
